Instance,Makespan (CP-SAT)
Tai01,1231.0
Tai02,1249.0
Tai03,1218.0
Tai04,1175.0
Tai05,1248.0
Tai06,1253.0
Tai07,1232.0
Tai08,1229.0
Tai09,1319.0
Tai10,1264.0
Tai11,1442.0
Tai12,1458.0
Tai13,1439.0
Tai14,1348.0
Tai15,1425.0
Tai16,1432.0
Tai17,1497.0
Tai18,1475.0
Tai19,1394.0
Tai20,1420.0
Tai21,1753.0
Tai22,1680.0
Tai23,1653.0
Tai24,1721.0
Tai25,1695.0
Tai26,1742.0
Tai27,1788.0
Tai28,1663.0
Tai29,1691.0
Tai30,1689.0
Tai31,1948.0
Tai32,1986.0
Tai33,2059.0
Tai34,1983.0
Tai35,2059.0
Tai36,2056.0
Tai37,1927.0
Tai38,1848.0
Tai39,2006.0
Tai40,1883.0
Tai41,2398.0
Tai42,2191.0
Tai43,2173.0
Tai44,2289.0
Tai45,2291.0
Tai46,2280.0
Tai47,2100.0
Tai48,2162.0
Tai49,2221.0
Tai50,2222.0
Tai51,3210.0
Tai52,3222.0
Tai53,2897.0
Tai54,3043.0
Tai55,2991.0
Tai56,2973.0
Tai57,3144.0
Tai58,3164.0
Tai59,2934.0
Tai60,2977.0
Tai61,3230.0
Tai62,3315.0
Tai63,3047.0
Tai64,3080.0
Tai65,3188.0
Tai66,3186.0
Tai67,3172.0
Tai68,3066.0
Tai69,3367.0
Tai70,3388.0
Tai71,5949.0
Tai72,5528.0
Tai73,5981.0
Tai74,5642.0
Tai75,5960.0
Tai76,5828.0
Tai77,5889.0
Tai78,5704.0
Tai79,5717.0
Tai80,5514.0
