Instance,Makespan (MIP)
Tai01,8792.0
Tai02,6839.0
Tai03,7012.0
Tai04,4715.0
Tai05,8286.0
Tai06,6983.0
Tai07,7892.0
Tai08,6487.0
Tai09,7473.0
Tai10,7601.0
Tai11,10002.0
Tai12,11594.0
Tai13,10473.0
Tai14,12051.0
Tai15,10523.0
Tai16,11599.0
Tai17,9059.0
Tai18,8783.0
Tai19,8930.0
Tai20,10963.0
Tai21,14581.0
Tai22,15375.0
Tai23,12012.0
Tai24,16257.0
Tai25,15251.0
Tai26,12785.0
Tai27,15964.0
Tai28,15855.0
Tai29,12806.0
Tai30,14438.0
Tai31,17996.0
Tai32,18970.0
Tai33,18585.0
Tai34,13051.0
Tai35,13208.0
Tai36,16982.0
Tai37,15867.0
Tai38,12549.0
Tai39,15967.0
Tai40,15682.0
Tai41,-1.0
Tai42,-1.0
Tai43,-1.0
Tai44,-1.0
Tai45,-1.0
Tai46,-1.0
Tai47,-1.0
Tai48,-1.0
Tai49,-1.0
Tai50,-1.0
Tai51,-1.0
Tai52,-1.0
Tai53,-1.0
Tai54,-1.0
Tai55,-1.0
Tai56,-1.0
Tai57,-1.0
Tai58,-1.0
Tai59,-1.0
Tai60,-1.0
Tai61,-1.0
Tai62,-1.0
Tai63,-1.0
Tai64,-1.0
Tai65,-1.0
Tai66,-1.0
Tai67,-1.0
Tai68,-1.0
Tai69,-1.0
Tai70,-1.0
Tai71,-1.0
Tai72,-1.0
Tai73,-1.0
Tai74,-1.0
Tai75,-1.0
Tai76,-1.0
Tai77,-1.0
Tai78,-1.0
Tai79,-1.0
Tai80,-1.0
